"","Mnemonic","LOANID","Intercept","MR","RDIGR","CPIL1EGR","AGE","AGE2","ORIGSC","ELTV","INSURANCE","NUM30","UNEMP","JUMBO","NUM60","HPI"
"34",1998-06-30,8738693,1,7.092833368,5.70652014283179,2.26841484079274,214.999999999998,46224.9999999992,636,0.0504085440231906,0,0,4.333333492,0,0,92.305
"35",1998-09-30,8738693,1,6.865666644,4.13979032359559,2.4125775717613,214.999999999998,46224.9999999992,636,0.0498859320702955,0,0,4.266667,0,0,93.272
"36",1998-12-31,8738693,1,6.770999993,3.28954823147771,2.24210879730893,214.999999999998,46224.9999999992,636,0.0492898374582691,0,0,4.133333,0,0,94.4
"37",1999-03-31,8738693,1,6.877500017,3.63131381653399,1.76528392387836,214.999999999998,46224.9999999992,636,0.0487200604797768,0,0,4,0,0,95.504
"38",1999-06-30,8738693,1,7.203666679,0.994514775565469,1.91144376647197,214.999999999998,46224.9999999992,636,0.0480896342972075,0,0,3.933333397,0,0,96.756
"39",1999-09-30,8738693,1,7.790833298,2.70549960671145,2.13244590438781,214.999999999998,46224.9999999992,636,0.0473540404040404,0,0,3.833333254,0,0,98.259
"40",1999-12-31,8738693,1,7.846500079,6.0167219380042,2.27392849645147,214.999999999998,46224.9999999992,636,0.0466761697335695,0,0,3.733333349,0,0,99.686
"41",2000-03-31,8738693,1,8.258333286,8.11434535527855,2.64161658381277,214.999999999998,46224.9999999992,636,0.0457982091603158,0,0,3.7,0,0,101.597
"42",2000-06-30,8738693,1,8.318500042,4.21577735143166,2.54859784819312,214.999999999998,46224.9999999992,636,0.0448841534935331,0,0,3.733333349,0,0,103.666
"43",2000-09-30,8738693,1,8.020500024,4.75381744595031,2.68291427315426,214.999999999998,46224.9999999992,636,0.0442208366776652,0,0,3.766666651,0,0,105.221
"44",2000-12-31,8738693,1,7.612000012,1.36014276658221,2.4409418301238,214.999999999998,46224.9999999992,636,0.0431953569570884,0,0,3.733333349,0,0,107.719
"45",2001-03-31,8738693,1,7.011500017,3.45391089999709,2.94639597323816,214.999999999998,46224.9999999992,636,0.0422190423379059,0,0,3.966666698,0,0,110.21
"46",2001-06-30,8738693,1,7.127166605,-0.351620191276691,2.48208691880998,214.999999999998,46224.9999999992,636,0.0413188823122129,0,0,4.233333,0,0,112.611
"47",2001-09-30,8738693,1,6.965000017,9.79799510295842,2.75996130268266,214.999999999998,46224.9999999992,636,0.0403444057197163,0,0,4.6,0,0,115.331
"48",2001-12-31,8738693,1,6.780166666,-4.85797383062665,2.66820309042659,214.999999999998,46224.9999999992,636,0.0395165962280195,0,0,5.9,0,0,117.747
"49",2002-03-31,8738693,1,6.968999974,10.0917830841419,2.21717095724201,214.999999999998,46224.9999999992,636,0.038700818072683,0,0,5.966667,0,0,120.229
"50",2002-06-30,8738693,1,6.813666717,2.04453826268931,2.06160475373551,214.999999999998,46224.9999999992,636,0.0376319162762496,0,0,5.7,0,0,123.644
"51",2002-09-30,8738693,1,6.289166617,-0.515821475056111,2.12231732367629,214.999999999998,46224.9999999992,636,0.0367770645762706,0,0,5.533333,0,0,126.518
"52",2002-12-31,8738693,1,6.072000074,1.93864615677359,1.82772060178429,214.999999999998,46224.9999999992,636,0.0357589967419352,0,0,5.4,0,0,130.12
"53",2003-03-31,8738693,1,5.834499995,1.11915493027237,1.32714518736567,214.999999999998,46224.9999999992,636,0.0347757506114441,0,0,5.4,0,0,133.799
"54",2003-06-30,8738693,1,5.508833313,5.91959090187417,0.694562350210859,214.999999999998,46224.9999999992,636,0.034031279025647,0,0,5.4,0,0,136.726
"55",2003-09-30,8738693,1,6.058833377,6.71731021169646,1.60010745895605,214.999999999998,46224.9999999992,636,0.0330271264528765,0,0,5.233333,0,0,140.883
"56",2003-12-31,8738693,1,5.922333368,1.62695750537289,1.0372460587722,214.999999999998,46224.9999999992,636,0.0318986518956351,0,0,4.9,0,0,145.867
"57",2004-03-31,8738693,1,5.60666666,2.94672130159461,1.93765989940451,214.999999999998,46224.9999999992,636,0.0306808169491722,0,0,4.8,0,0,151.657
"58",2004-06-30,8738693,1,6.129166667,3.99967521072997,2.55401757746252,214.999999999998,46224.9999999992,636,0.0292948565532173,0,0,4.7,0,0,158.832
"59",2004-09-30,8738693,1,5.8925,2.12330323273129,1.70950926118927,214.999999999998,46224.9999999992,636,0.0278732225267659,0,0,4.566666603,0,0,166.933
"60",2004-12-31,8738693,1,5.734833312,5.09474995824468,2.45806222113274,214.999999999998,46224.9999999992,636,0.0264473444780718,0,0,4.4,0,0,175.933
"61",2005-03-31,8738693,1,5.755166667,-3.80058818255702,2.5115450596261,214.999999999998,46224.9999999992,636,0.0245986659409511,0,0,4.1,0,0,189.155
"62",2005-06-30,8738693,1,5.719,3.20309957225591,1.88451821345876,214.999999999998,46224.9999999992,636,0.0229369200087776,0,0,3.733333349,0,0,202.859
"63",2005-09-30,8738693,1,5.763,2.06930368331459,1.33710336015302,214.999999999998,46224.9999999992,636,0.021460609813299,0,0,3.466667,0,0,216.814
"64",2005-12-31,8738693,1,6.222333351,3.34197819818431,2.67857267102793,214.999999999998,46224.9999999992,636,0.0204645381962229,0,0,3.333333,0,0,227.367
"65",2006-03-31,8738693,1,6.2405,9.45378424950889,2.52647138353526,214.999999999998,46224.9999999992,636,0.0197267178078721,0,0,3.166667,0,0,235.871
"66",2006-06-30,8738693,1,6.595666667,0.602688555587694,3.31317313837309,214.999999999998,46224.9999999992,636,0.0196578776074923,0,0,3.166667,0,0,236.697
"67",2006-09-30,8738693,1,6.563,1.14576519589056,2.75484050638157,214.999999999998,46224.9999999992,636,0.019777530257627,0,0,3.233333,0,0,235.265
"68",2006-12-31,8738693,1,6.244166655,5.33916907049428,2.07954040311671,214.999999999998,46224.9999999992,636,0.0197878756498652,0,0,3.366667,0,0,235.142
"69",2007-03-31,8738693,1,6.2195,2.6493823940527,2.36422088863124,214.999999999998,46224.9999999992,636,0.0201893583264369,0,0,3.6,0,0,230.466
"70",2007-06-30,8738693,1,6.3665,0.776209797010741,1.95565280098891,214.999999999998,46224.9999999992,636,0.0212027316169013,0,0,3.9,0,0,219.451
"71",2007-09-30,8738693,1,6.549833333,1.0525737804016,2.07821487349715,214.999999999998,46224.9999999992,636,0.0222939037710728,0,0,4.333333,0,0,208.71
"72",2007-12-31,8738693,1,6.225999987,0.33702257917414,2.84558015690464,214.999999999998,46224.9999999992,636,0.0235303432033529,0,0,4.733333,0,0,197.743
