"","Mnemonic","LOANID","HPI_IND","RGDPGR","ORIGLTV","FLBR.FL"
"76",2008-12-31,8738693,1.57470562493003,-8.18780666567103,100,8.066667
"77",2009-03-31,8738693,1.46973814103543,-5.4279591484211,100,9.566667
"78",2009-06-30,8738693,1.42640368821177,-0.540396403112287,100,10.5
"79",2009-09-30,8738693,1.40925513184543,1.31376358155169,100,10.9
"80",2009-12-31,8738693,1.39904741550392,3.9288144800004,100,11.16667
"81",2010-03-31,8738693,1.37236283699203,1.74265678762704,100,11.1
"82",2010-06-30,8738693,1.35915285113832,3.92049731200197,100,10.83333
"83",2010-09-30,8738693,1.31582857549945,2.72718261351066,100,10.83333
"84",2010-12-31,8738693,1.31875960471814,2.54437035967243,100,10.8
"85",2011-03-31,8738693,1.30646556549527,-1.53602162597176,100,10.36667
"86",2011-06-30,8738693,1.30302567703722,2.94170460929475,100,10.03333
"87",2011-09-30,8738693,1.2871289143997,0.845763014856349,100,9.666667
"88",2011-12-31,8738693,1.26413865396554,4.57976018623654,100,9.133333
"89",2012-03-31,8738693,1.29841541232864,2.68033376021066,100,8.7
"90",2012-06-30,8738693,1.33369971198567,1.88035329637302,100,8.533334
"91",2012-09-30,8738693,1.35312795774433,0.479613054467309,100,8.3
"92",2012-12-31,8738693,1.38744542484658,0.0898044796776798,100,7.9
"93",2013-03-31,8738693,1.44288055038215,2.82779101542094,100,7.6
"94",2013-06-30,8738693,1.48988896691397,0.768568099049372,100,7.233333
"95",2013-09-30,8738693,1.5502702042561,3.12263972510138,100,6.9
"96",2013-12-31,8738693,1.58817004040342,3.95975172790024,100,6.633333
"97",2014-03-31,8738693,1.61385725480618,-0.91763485519788,100,6.533333
"98",2014-06-30,8738693,1.63415056127174,4.60229838902195,100,6.3
"99",2014-09-30,8738693,1.66177144078405,5.21156883599685,100,6.033333
"100",2014-12-31,8738693,1.69678095645183,2.01533773899505,100,5.833333
"101",2015-03-31,8738693,1.72164381888682,3.23825726718061,100,5.6
"102",2015-06-30,8738693,1.74142826611303,2.74135875330728,100,5.4
"103",2015-09-30,8738693,1.77647849051995,1.63064041914378,100,5.233333
"104",2015-12-31,8738693,1.81593543593971,0.485695791862484,100,5.1
"105",2016-03-31,8738693,1.84363773293032,0.580290450376775,100,4.966667
"106",2016-06-30,8738693,1.86472485980928,2.23783261640853,100,4.9
"107",2016-09-30,8738693,1.89226432184329,2.78021282746266,100,4.9
"108",2016-12-31,8738693,1.93428591782941,1.75831990876334,100,4.9
"109",2017-03-31,8738693,1.95064065378235,1.23573013647025,100,4.933333
"110",2017-06-30,8738693,1.97258266418343,3.05983303675026,100,4.3
"111",2017-09-30,8738693,2.00540329842559,2.98895977014322,100,4.375611
"112",2017-12-31,8738693,2.04060219623648,2.66873910587129,100,4.252277
"113",2018-03-31,8738693,2.07292961357229,2.93016366554344,100,4.054983
"114",2018-06-30,8738693,2.0983405296207,3.25488210005209,100,3.86201
"115",2018-09-30,8738693,2.11770235601828,2.45045840533877,100,3.689385
"116",2018-12-31,8738693,2.13140270000712,2.4336252298403,100,3.498205
"117",2019-03-31,8738693,2.14080510894676,2.30759009732533,100,3.425711
"118",2019-06-30,8738693,2.14760233159303,1.67790331493058,100,3.412213
"119",2019-09-30,8738693,2.15269870546209,1.33360665182241,100,3.426919
"120",2019-12-31,8738693,2.1562529987075,1.10644302680021,100,3.502197
"121",2020-03-31,8738693,2.15720317121078,0.17839121412504,100,3.71567
"122",2020-06-30,8738693,2.15676029371355,0.611546597480062,100,3.947908
"123",2020-09-30,8738693,2.15758737621999,1.64173704857522,100,4.125211
"124",2020-12-31,8738693,2.16017446849652,2.43917240193083,100,4.220629
"125",2021-03-31,8738693,2.16479500096683,2.85388853006523,100,4.253452
"126",2021-06-30,8738693,2.17032264016528,2.93071223547015,100,4.335208
"127",2021-09-30,8738693,2.17542447511169,2.55245377602038,100,4.430335
"128",2021-12-31,8738693,2.18057627698226,2.44376781679037,100,4.495274
